"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"StarBeast3: Adaptive Parallelised Bayesian Inference of the Multispecies Coalescent","https://scispace.com/paper/starbeast3-adaptive-parallelised-bayesian-inference-of-the-131xcnmut7","2021","Posted Content","bioRxiv","Jordan Douglas
Cinthy L. Jiménez-Silva
Remco R. Bouckaert","10.1101/2021.10.06.463424","https://scispace.com/pdf/starbeast3-adaptive-parallelised-bayesian-inference-of-the-131xcnmut7.pdf","As genomic sequence data becomes increasingly available, inferring the phylogeny of the species as that of concatenated genomic data can be enticing. However, this approach makes for a biased estimator of branch lengths and substitution rates and an inconsistent estimator of tree topology. Bayesian multispecies coalescent methods address these issues. This is achieved by embedding a set of gene trees within a species tree and jointly inferring both under a Bayesian framework. However, this approach comes at the cost of increased computational demand. Here, we introduce StarBeast3 -- a software package for efficient Bayesian inference of the multispecies coalescent model via Markov chain Monte Carlo. We gain efficiency by introducing cutting-edge proposal kernels and adaptive operators, and StarBeast3 is particularly efficient when a relaxed clock model is applied. Furthermore, gene tree inference is parallelised, allowing the software to scale with the size of the problem. We validated our software and benchmarked its performance using three real and two synthetic datasets. Our results indicate that StarBeast3 is up to one-and-a-half orders of magnitude faster than StarBeast2, and therefore more than two orders faster than *BEAST, depending on the dataset and on the parameter, and is suitable for multispecies coalescent inference on large datasets (100+ genes). StarBeast3 is open-source and is easy to set up with a friendly graphical user interface.","Title: StarBeast3: Adaptive Parallelised Bayesian Inference of the Multispecies Coalescent Authors: Jordan Douglas (Corresponding Author),Cinthy L Jiménez-Silva,Remco Bouckaert"
"A multilocus phylogeny reveals deep lineages within African galagids (Primates: Galagidae)","https://scispace.com/paper/a-multilocus-phylogeny-reveals-deep-lineages-within-african-4jcpm12usk","2014","Journal Article","BMC Evolutionary Biology","Luca Pozzi
Luca Pozzi
Todd R. Disotell
Judith C. Masters","10.1186/1471-2148-14-72","https://scispace.com/pdf/a-multilocus-phylogeny-reveals-deep-lineages-within-african-4jcpm12usk.pdf","Bushbabies (Galagidae) are among the most morphologically cryptic of all primates and their diversity and relationships are some of the most longstanding problems in primatology. Our knowledge of galagid evolutionary history has been limited by a lack of appropriate molecular data and a paucity of fossils. Most phylogenetic studies have produced conflicting results for many clades, and even the relationships among genera remain uncertain. To clarify galagid evolutionary history, we assembled the largest molecular dataset for galagos to date by sequencing 27 independent loci. We inferred phylogenetic relationships using concatenated maximum-likelihood and Bayesian analyses, and also coalescent-based species tree methods to account for gene tree heterogeneity due to incomplete lineage sorting. The genus Euoticus was identified as sister taxon to the rest of the galagids and the genus Galagoides was not recovered as monophyletic, suggesting that a new generic name for the Zanzibar complex is required. Despite the amount of genetic data collected in this study, the monophyly of the family Lorisidae remained poorly supported, probably due to the short internode between the Lorisidae/Galagidae split and the origin of the African and Asian lorisid clades. One major result was the relatively old origin for the most recent common ancestor of all living galagids soon after the Eocene-Oligocene boundary. Using a multilocus approach, our results suggest an early origin for the crown Galagidae, soon after the Eocene-Oligocene boundary, making Euoticus one of the oldest lineages within extant Primates. This result also implies that one – or possibly more – stem radiations diverged in the Late Eocene and persisted for several million years alongside members of the crown group.","monophyletic and the genus Galagoides, sensu stricto (including only demidoff and thomasi), represents an independent clade from both Galago and the remaining 'Galagoides' (eastern clade). Phylogenetic conclusions:
 The generic name Galagoides was first used to describe Galagoides demidoff , but no name is available for members of the zanzibaricus group. The sister group relationship between Galago and 'Galagoides' (eastern clade) suggests the possibilityo fi n c l u d i n gt h eZa n z i b a rg alagos within the genus Galago.A l t h o u g hp r e v i o u ss t u d i e s classified Galagoides zanzibaricus as a subspecies of Galago senegalensis, it is clearly not only a distinct species , but deserves to be separated at a generic level. The definition of a genus is somewhat arbitrary but most authorities agree that a genus should be monophyletic and occupy ""an ecological situation -or adaptive zone -that is different from that occupied by the species of another genus"" . Although they form a monophyletic group, Zanzibar galagos differ from the lesser galagos (Galago)i n several aspects: smaller body size (usually < 200 g), shorter limbs and lighter build, and characters of the skull and teeth . Species of the genus Galago are usually restricted to dry woodlands and savannahs (with the exception of Galago matschiei), while the Zanzibar galagos inhabit the lowland and coastal forests of eastern Africa. Acoustically Galago spp. do not give buzz calls, and their recognition calls are highly variable in length . We posit that morphological, behavioral, and ecological differences indicate that the Zanzibar galagos should be placed in a new genus for which a new name is required . The two species thomasi and demidoff would remain in the genus Galagoides, while the new genus would include all members of the Zanzibar complex (zanzibaricus, cocos,a n dgranti). 'Galagoides' granti was not included in this study but all studies conducted to date have strongly supported its close affiliation with 'Galagoides' zanzibaricus . No clear classification is available for the other species currently ascribed to the genus Galagoides due to the absence of genetic data. To date only 'Galagoides' orinus has been included in phylogenetic studies, and it was inferred as the sister taxon to the Zanzibar clade . If this topology is confirmed, 'Galagoides' orinus should be reclassified within the new genus; however, a new designation would be premature at this stage, since those phylogenetic reconstructions were based on a limited amount of genetic data (partial 12S rRNA). No genetic data are currently available for 'Galagoides' rondoensis, 'Galagoides' nyasae, and the still undescribed Mt. Rungwe galago ('Galagoides' sp. nov.) . Future studies should include these species of dwarf galagos in order to test their phylogenetic placement in relation to the Zanzibar group."
"StarBEAST2 Brings Faster Species Tree Inference and Accurate Estimates of Substitution Rates","https://scispace.com/paper/starbeast2-brings-faster-species-tree-inference-and-accurate-2jr2zj1xsf","2017","Journal Article","Molecular Biology and Evolution","Huw A. Ogilvie
Remco R. Bouckaert
Alexei J. Drummond","10.1093/MOLBEV/MSX126","https://scispace.com/pdf/starbeast2-brings-faster-species-tree-inference-and-accurate-2jr2zj1xsf.pdf","Fully Bayesian multispecies coalescent (MSC) methods like *BEAST estimate species trees from multiple sequence alignments. Today thousands of genes can be sequenced for a given study, but using that many genes with *BEAST is intractably slow. An alternative is to use heuristic methods which compromise accuracy or completeness in return for speed. A common heuristic is concatenation, which assumes that the evolutionary history of each gene tree is identical to the species tree. This is an inconsistent estimator of species tree topology, a worse estimator of divergence times, and induces spurious substitution rate variation when incomplete lineage sorting is present. Another class of heuristics directly motivated by the MSC avoids many of the pitfalls of concatenation but cannot be used to estimate divergence times. To enable fuller use of available data and more accurate inference of species tree topologies, divergence times, and substitution rates, we have developed a new version of *BEAST called StarBEAST2. To improve convergence rates we add analytical integration of population sizes, novel MCMC operators and other optimizations. Computational performance improved by 13.5× and 13.8× respectively when analyzing two empirical data sets, and an average of 33.1× across 30 simulated data sets. To enable accurate estimates of per-species substitution rates, we introduce species tree relaxed clocks, and show that StarBEAST2 is a more powerful and robust estimator of rate variation than concatenation. StarBEAST2 is available through the BEAUTi package manager in BEAST 2.4 and above.","Title: StarBEAST2 Brings Faster Species Tree Inference and Accurate Estimates of Substitution Rates Authors: Huw A Ogilvie (Corresponding Author),Remco R Bouckaert,Alexei J Drummond,Keith Crandall Keywords: multispecies coalescent, concatenation, phylogenetic methods, incomplete lineage sorting, relaxed clocks, species trees"
"Site Pattern Probabilities Under the Multispecies Coalescent and a Relaxed Molecular Clock: Theory and Applications","https://scispace.com/paper/site-pattern-probabilities-under-the-multispecies-coalescent-2w6q316azk","2021","Posted Content","bioRxiv","Andrew Richards
Laura Kubatko","10.1101/2021.08.11.455878","https://scispace.com/pdf/site-pattern-probabilities-under-the-multispecies-coalescent-2w6q316azk.pdf","The first step in statistical inference of the evolutionary histories of species is developing a probability model that describes the mutation process as accurately and realistically as possible. A major complication of this inference is that different loci on the genome can have histories that diverge from the common species history and each other. The multispecies coalescent process is commonly used to model one source of this divergence, incomplete lineage sorting, or ILS. Chifman and Kubatko (2015) computed the site pattern probabilities for four taxa under a full probability model based on the Jukes-Cantor substitution model when the molecular clock holds. This paper generalizes that work to a relaxed clock model, allowing for mutation rates to differ among species. This will enable better phylogentic inference in cases where the molecular clock does not hold.","Models for the Dating of Genomic Epidemiology Phylogenies. Split Probabilities and Species Tree Inference Under the Multispecies Coalescent Model. StarBEAST2 Brings Faster Species Tree Inference and Accurate Estimates of Substitution Rates Introduction:
 We begin with a collection of species as demonstrated in figure . The thick outer lines represent the evolutionary history of a set of six mammalian species. We can see that the chimpanzee is our closest relative, the mouse is most closely related to the rabbit, and so on. The inner blue lines represents the history of one locus on the genomes. At this particular locus, the mouse is more closely related to the (chimp,human) pair than it is to the rabbit. Different lineage histories could be depicted for this set of six Figure : The multispecies coalescent problem: how to infer the species tree topology (black outer lines) when there may be mismatch with the gene tree (inner blue lines). Introduction:
 species for each common locus on their respective genomes. Introduction:
 We describe the evolutionary histories of the species via a species tree: Definition 1. A species tree is an acyclic graph S = (V (S), E(S), τ S ) where V (S) is the vertex set of S, E(S) is the edge set of S, and τ S is a vector of node times. Introduction:
 The external nodes on the species tree represent extant species while the internal nodes represent speciation events. Internal branches represent ancestral species. If we know the common ancestor of all the species under consideration, then the tree is rooted, and the tree becomes a directed graph from the root outward. Introduction:
 In the case that the location of the common ancestor is unknown, then we have an unrooted tree. Then we only know the direction of the branches that connect to external nodes. As we will see, an unrooted tree is sometimes also used when knowledge of the root location is unimportant in order to ease the computational burden. Introduction:
 Species tree inference is complicated by the possibility for divergence between the evolutionary history  of species and individual elements of their genomes. Causes for this divergence include incomplete lineage sorting (ILS), gene duplication and loss (GDL) and horizontal gene transfer (HGT). ILS is commonly modeled by the coalescent process . The history of individual loci on the genome is represented by a gene tree. Introduction:
 Definition 2. A gene tree is a acyclic graph G = (V (G), E(G), t G ) where V (G) is the vertex set of G, E(G) is the edge set of G, and t G is a vector of node times. These node times are subject to the constraint that the nodes of the gene tree must must occur prior to the speciation time of the species in question."
"Bayesian Inference of Species Trees from Multilocus Data","https://scispace.com/paper/bayesian-inference-of-species-trees-from-multilocus-data-2pcc2zjdra","2010","Journal Article","Molecular Biology and Evolution","Joseph Heled
Alexei J. Drummond","10.1093/MOLBEV/MSP274","https://scispace.com/pdf/bayesian-inference-of-species-trees-from-multilocus-data-2pcc2zjdra.pdf","Until recently, it has been common practice for a phylogenetic analysis to use a single gene sequence from a single individual organism as a proxy for an entire species. With technological advances, it is now becoming more common to collect data sets containing multiple gene loci and multiple individuals per species. These data sets often reveal the need to directly model intraspecies polymorphism and incomplete lineage sorting in phylogenetic estimation procedures. For a single species, coalescent theory is widely used in contemporary population genetics to model intraspecific gene trees. Here, we present a Bayesian Markov chain Monte Carlo method for the multispecies coalescent. Our method coestimates multiple gene trees embedded in a shared species tree along with the effective population size of both extant and ancestral species. The inference is made possible by multilocus data from multiple individuals per species. Using a multiindividual data set and a series of simulations of rapid species radiations, we demonstrate the efficacy of our new method. These simulations give some insight into the behavior of the method as a function of sampled individuals, sampled loci, and sequence length. Finally, we compare our new method to both an existing method (BEST 2.2) with similar goals and the supermatrix (concatenation) method. We demonstrate that both BEST and our method have much better estimation accuracy for species tree topology than concatenation, and our method outperforms BEST in divergence time and population size estimation.","1.5 (where it split from B) the population size is 1. Introduction: this common practice of concatenation can result in a well supported but incorrect tree, it is still a widely used method , largely because of a lack of alternatives. Introduction:
 It has also been shown that the straightforward procedure of using the estimated gene tree topology that occurs most often among set of loci can be asymptotically guaranteed to produce the wrong estimate of the species tree in the so-called anomaly zone . Two recent studies examined the performance of various methods in this problematic region of species trees . Introduction:
 A number of researchers have taken advantage of the multispecies coalescent model to develop methods that reconcile a set of gene trees with a shared species tree . The multispecies coalescent assumes that each gene tree represents the relationships between orthologous genes from a small sample of individuals from multiple species and that there is no horizontal gene transfer or admixture between individuals from different species. A number of Bayesian approaches to inference have been developed in this context. The software package BATWING  was developed to estimate a species tree from a single gene tree, including the times of speciation, population sizes, and growth rates. The MCMCcoal  software package estimates ancestral population sizes and divergence times on a known species tree based on a strict molecular clock and multiple gene trees. Finally, BEST provides estimates of the species tree topology, divergence times, and ancestral population sizes from a set of gene trees via an importance sampling method . Introduction:
 Multilocus species tree inference and the multispecies coalescent continue to be the subject of intense interest . STEM ) is a new method that infers species trees from user supplied gene trees, population sizes, and gene tree rates. STAR and STEAC ) are methods that use coalescence summary statistics as the basis of inference. In addition to the development of these new methods, the performance of consensus methods of species tree estimation has also been investigated . The Species Tree:
 Coalescent theory explicitly links the effective population size with the ancestral history of a small sample of genes from a population. In the context of Bayesian phylogenetic analysis, the coalescent acts as a prior distribution for gene trees. In its basic form, it is restricted to analyzing genes of individuals from the same species but it can be extended in a natural way to serve as a prior when building a multiple species phylogeny. The Species Tree:
 Please bear in mind that ""species"" above and in the rest of the text is not necessarily the same as a taxonomic rank, but designates any group of individuals that, after some ""divergence"" time, have no history of breeding with individuals outside that group. A species tree defines barriers for gene flow, and so the term is a catch all for taxonomic rank, subspecies, or any diverging ""population structure."" The Species Tree:
 A species tree specifies ancestral relationships (tree topology), the times ancestral species separated into two species (divergence times), and the population size history for each species. Each species (extant or ancestral) is represented by one branch of the species tree."
"Molecular phylogenetics of the African horseshoe bats (Chiroptera: Rhinolophidae): expanded geographic and taxonomic sampling of the Afrotropics","https://scispace.com/paper/molecular-phylogenetics-of-the-african-horseshoe-bats-fbenn02dxg","2019","Journal Article","BMC Evolutionary Biology","Terrence C. Demos
Paul W. Webala
Steven M. Goodman
Julian C. Kerbis Peterhans
Julian C. Kerbis Peterhans
Michael Bartonjo
Bruce D. Patterson","10.1186/S12862-019-1485-1","https://scispace.com/pdf/molecular-phylogenetics-of-the-african-horseshoe-bats-fbenn02dxg.pdf","The Old World insectivorous bat genus Rhinolophus is highly speciose. Over the last 15 years, the number of its recognized species has grown from 77 to 106, but knowledge of their interrelationships has not kept pace. Species limits and phylogenetic relationships of this morphologically conservative group remain problematic due both to poor sampling across the Afrotropics and to repeated instances of mitochondrial-nuclear discordance. Recent intensive surveys in East Africa and neighboring regions, coupled with parallel studies by others in West Africa and in Southern Africa, offer a new basis for understanding its evolutionary history. We investigated phylogenetic relationships and intraspecific genetic variation in the Afro-Palearctic clade of Rhinolophidae using broad sampling. We sequenced mitochondrial cytochrome-b (1140 bp) and four independent and informative nuclear introns (2611 bp) for 213 individuals and incorporated sequence data from 210 additional individuals on GenBank that together represent 24 of the 33 currently recognized Afrotropical Rhinolophus species. We addressed the widespread occurrence of mito-nuclear discordance in Rhinolophus by inferring concatenated and species tree phylogenies using only the nuclear data. Well resolved mitochondrial, concatenated nuclear, and species trees revealed phylogenetic relationships and population structure of the Afrotropical species and species groups. Multiple well-supported and deeply divergent lineages were resolved in each of the six African Rhinolophus species groups analyzed, suggesting as many as 12 undescribed cryptic species; these include several instances of sympatry among close relatives. Coalescent lineage delimitation offered support for new undescribed lineages in four of the six African groups in this study. On the other hand, two to five currently recognized species may be invalid based on combined mitochondrial and/or nuclear phylogenetic analyses. Validation of these cryptic lineages as species and formal relegation of current names to synonymy will require integrative taxonomic assessments involving morphology, ecology, acoustics, distribution, and behavior. The resulting phylogenetic framework offers a powerful basis for addressing questions regarding their ecology and evolution.","ruwenzorii and R. willardi (maclaudi group) is uncertain, although R. ruwenzorii + R. willardi + R. deckenii are strongly supported as sister to members of the fumigatus group. Species trees:
 The four StarBEAST2 runs in the multilocus coalescent species tree analyses converged within 10 × 10 6 generations. We discarded the first 20% of each run, resulting in 8,000 trees in the posterior distributions. ESS values for all posterior parameters were greater than 300 in the combined species tree analysis of 32,000 trees. The species tree (Fig. ) is largely in agreement with the concatenated nuclear tree (Fig. ) in the following respects: a) strongly supports R. hipposideros as sister to all other Rhinolophus species in the tree; (b) strongly supports the sister relationship of the R. landeri group to the remaining African groups in the tree; c) strongly supports R. landeri as sister to R. alcyone + R. lobatus + R. cf. landeri; and d) strongly supports all the species group assignments made by Csorba et 2003, with exception of R. deckenii (which had been uncertainly placed in ferrumequinum group) and R. ruwenzorii and R. willardi (maclaudi group), but here recovered in the fumigatus group. In contrast to the concatenated analysis, R. alcyone is poorly supported as sister to R. lobatus + R. cf. landeri clade. R. gorongosae and R. rhodesiae are respectively members of well supported monophyletic clades that also include specimens assigned to simulator 1 and simulator 2 in the cyt-b tree (Fig.  and Additional file 4), although R. simulator clades 1 and 2 in the species tree analysis (Fig. ) have different memberships than the two clades in the mitochondrial gene tree (Fig. ) with the same labels. The clades labeled simulator 1 and simulator 2 in the species tree analysis (Fig. ) have largely overlapping distributions although simulator 1 also includes specimens from DRC and Gabon that were provisionally assigned to R. cf. denti in the cyt-b gene tree (Fig. ). The enigmatic placement of these Guineo-Congolian rainforest  specimens within R. simulator 1, otherwise distributed in savanna/ woodland, warrants further investigation. Lineage delimitation:
 Results from the replicated BPP analyses show that prior choice had minimal effect on delimitation probabilities for most of the 23 tested species/clades (Table )."
"Introgression underlies phylogenetic uncertainty but not parallel plumage evolution in a recent songbird radiation","https://scispace.com/paper/introgression-underlies-phylogenetic-uncertainty-but-not-2e94q8l4","2023","Posted Content","bioRxiv","Loïs Rancilhac
Erik D Enbody
Rebecca Harris
Takema Saitoh
Martin Irestedt
Yang Liu
Fumin Lei
Leif Andersson
Per Alström","10.1101/2023.04.25.538255","https://scispace.com/pdf/introgression-underlies-phylogenetic-uncertainty-but-not-2e94q8l4.pdf","Instances of parallel phenotypic evolution offer great opportunities to understand the evolutionary processes underlying phenotypic changes. However, confirming parallel phenotypic evolution and studying its causes requires a robust phylogenetic framework. One such example is the “black-and-white wagtails”, a group of five species in the songbird genus Motacilla: one species, the White Wagtail (M. alba), shows wide intra-specific plumage variation, while the four others form two pairs of very similar-looking species (African Pied Wagtail M. aguimp + Mekong Wagtail M. samveasnae and Japanese Wagtail M. grandis + White-browed Wagtail M. maderaspatensis, respectively). However, the two species in each of these pairs were not recovered as sisters in previous phylogenetic inferences. Their relationships varied depending on the markers used, suggesting that gene tree heterogeneity might have hampered accurate phylogenetic inference. Here, we use whole genome resequencing data to explore the phylogenetic relationships within this group, with a special emphasis on characterizing the extent of gene tree heterogeneity and its underlying causes. We first used multispecies coalescent methods to generate a “complete evidence” phylogenetic hypothesis based on genome-wide variants, while accounting for incomplete lineage sorting and introgression. We then investigated the variation in phylogenetic signal across the genome, to quantify the extent of discordance across genomic regions, and test its underlying causes. We found that wagtail genomes are mosaics of regions supporting variable genealogies, because of ILS and inter-specific introgression. The most common topology across the genome, supporting M. alba and M. aguimp as sister species, appears to be influenced by ancient introgression. Additionally, we inferred another ancient introgression event, between M. alba and M. grandis. By combining results from multiple analyses, we propose a phylogenetic network for the black-and-white wagtails that confirms that similar phenotypes evolved in non-sister lineages, supporting parallel plumage evolution. Furthermore, the inferred reticulations do not connect species with similar plumage coloration, suggesting that introgression does not underlie parallel plumage evolution in this group. Our results demonstrate the importance of investigation of genome-wide patterns of gene tree heterogeneity to help understanding the mechanisms underlying phenotypic evolution.","alba is sister to grandis + samveasnae, we expect that Dxy(alba/grandis) = Dxy(alba/samveasnae) > Dxy(grandis/samveasnae). Phylogenetic relationships based on plumage characters:
 A NJ analysis of 16 plumage characters scored in breeding males (Fig. , Fig. ) recovered both M. aguimp/M. samveasnae (pairwise distance=2) and M. grandis/M. maderaspatensis (pairwise distance=4) as sister species, highlighting their respective similarity. In contrast, the subspecies of M. alba did not form a monophyletic group but were scattered across the tree (pairwise distances ranging 2-8). Multispecies Coalescent species tree and network:
 As a first approach to estimate phylogenetic relationships within the black-and-white wagtails while accounting for ILS and ILS+introgression, respectively, we used three Multispecies Coalescent models. When performing species tree estimation with SNAPPER based on the snapper_5sp dataset, individual runs failed to reach convergence. However, combining results from three independent runs improved the results: although several parameters still had ESS <200, posterior traces did not show clear trends. Despite suboptimal convergence, all three runs individually, as well as combined, yielded a single, fully supported topology (i.e., all nodes with Posterior Probability [PP] = 1.0, Fig. ). In this tree, M. samveasnae/M. grandis and M. maderaspatensis/M. alba form two pairs of sister species, and M. aguimp is sister to the latter. When excluding M. maderaspatensis this analysis converged properly (Fig. ) on the same topology (i.e., M. samveasnae/M. grandis and M. aguimp/M.alba formed reciprocally monophyletic groups). The analysis based on Z chromosome variants yielded the same topology, although with lower support (Fig. ). The ASTRAL_5sp and ASTRAL_4sp analysis yielded similar topologies to their SNAPPER counterparts (Fig. , Fig. ), although in the 5sp analysis the positions of M. aguimp and M. maderaspatensis were swapped, but this node received comparatively low support (PP = 0.87). Internal branches of the ingroup were short in all analyses, especially the ancestral branch of M. aguimp, M. alba and M. maderaspatensis in the ASTRAL 5sp analysis (Fig. )."
"Multispecies Coalescent Analysis of the Early Diversification of Neotropical Primates: Phylogenetic Inference under Strong Gene Trees/Species Tree Conflict","https://scispace.com/paper/multispecies-coalescent-analysis-of-the-early-1kj4qh4cbg","2014","Journal Article","Genome Biology and Evolution","Carlos G. Schrago
Albert N. Menezes
Carolina Furtado
Cibele R. Bonvicino
Héctor N. Seuánez","10.1093/GBE/EVU244","https://scispace.com/pdf/multispecies-coalescent-analysis-of-the-early-1kj4qh4cbg.pdf","Neotropical primates (NP) are presently distributed in the New World from Mexico to northern Argentina, comprising three large families, Cebidae, Atelidae, and Pitheciidae, consequently to their diversification following their separation from Old World anthropoids near the Eocene/Oligocene boundary, some 40 Ma. The evolution of NP has been intensively investigated in the last decade by studies focusing on their phylogeny and timescale. However, despite major efforts, the phylogenetic relationship between these three major clades and the age of their last common ancestor are still controversial because these inferences were based on limited numbers of loci and dating analyses that did not consider the evolutionary variation associated with the distribution of gene trees within the proposed phylogenies. We show, by multispecies coalescent analyses of selected genome segments, spanning along 92,496,904 bp that the early diversification of extant NP was marked by a 2-fold increase of their effective population size and that Atelids and Cebids are more closely related respective to Pitheciids. The molecular phylogeny of NP has been difficult to solve because of population-level phenomena at the early evolution of the lineage. The association of evolutionary variation with the distribution of gene trees within proposed phylogenies is crucial for distinguishing the mean genetic divergence between species (the mean coalescent time between loci) from speciation time. This approach, based on extensive genomic data provided by new generation DNA sequencing, provides more accurate reconstructions of phylogenies and timescales for all organisms.","Title: Multispecies Coalescent Analysis of the Early Diversification of Neotropical Primates: Phylogenetic Inference under Strong Gene Trees/Species Tree Conflict Authors: Carlos G Schrago,Albert N Menezes,Carolina Furtado,Cibele R Bonvicino,Hector N Seuanez (Corresponding Author) Keywords: species tree, primate evolution, coalescence, South America, Miocene"
"Primate molecular phylogenetics in a genomic era","https://scispace.com/paper/primate-molecular-phylogenetics-in-a-genomic-era-126it2htcw","2013","Journal Article","Molecular Phylogenetics and Evolution","Nelson Ting
Kirstin N. Sterner","10.1016/J.YMPEV.2012.08.021","http://molecular-anthro.uoregon.edu/downloads/Ting_and_Sterner_2012.pdf","","component of species histories, both supermatrix and supertree methods fail to utilize large genomic datasets to their full potential. Continued research into coalescent theory has led to the development of a framework that better realizes this potential for inferring species histories. Emergence of a new paradigm in molecular phylogenetics:
 Coalescent theory refers to a retrospective model in population genetics that traces all alleles of a gene shared by individuals in a population to a single ancestral copy. The resulting tree-shaped genealogy shows ancestor-descendant relationships among alleles back in time and is known as ''the coalescent.'' Most commonly attributed to Kingman, coalescent theory was originally described as a set of probability models that demonstrated the time it would take for this process to occur in an idealized population based on genetic drift and population size . After noting the difference between gene trees and species trees in early molecular phylogenetic studies (e.g., , molecular evolutionary biologists realized that this discrepancy can occur because of the coalescent process ; see also references in . Through this work, some researchers started to view species trees as statistical distributions of genealogical coalescents, or a ''cloud of gene histories'' ; see also references in . It was also realized that, because coalescent theory is grounded in probability, direct inference of the species tree could be attained by calculating the likelihood that a set of gene tree topologies might exist within a given species tree topology given branch lengths and ancestral population sizes. This theoretical framework is now commonly referred to as the ''multi-species coalescent'' . With the collection of multi-locus datasets from non-model organisms becoming more common and an increase in access to computational power, there has been a recent proliferation of programs that use this framework for phylogenetic analysis, each of which implements the theory in different ways (see  for reviews of some of these programs). In addition to directly inferring the species tree, many of these programs are also capable of inferring population divergence times (as opposed to gene tree divergence times) and estimating ancestral effective population sizes (e.g., BEST and Ã BEAST; . Therefore, in theory these approaches hold a substantial advantage to supermatrix and supertree methods. Performance of species tree inference within a coalescent framework:
 Despite growing support for coalescent-based approaches for species tree inference, their implementation has brought mixed results. In comparison to the supermatrix approach, simulation-based studies have shown that the coalescent approach is more accurate in inferring the species tree when there is a high degree of gene tree incongruence . However, empirical studies have shown that coalescent approaches often contain lower levels of support and/or resolution than consensus approaches (e.g., . One can thus conclude that either: (1) the coalescent approach is not as powerful as the consensus approach in resolving species relationships, perhaps due to phylogenetic noise from numerous unresolved trees and/or missing data from different partitions , or (2) the consensus approach provides a false sense of support, and the multi-species coalescent results are true representations of phylogenetic uncertainty ."
"An Integrative Population and Landscape Genomic Approach to Conservation of a Threatened California Amphibian at Multiple Spatial Scales","https://scispace.com/paper/an-integrative-population-and-landscape-genomic-approach-to-4qz35e1a65","2019","","","Kevin M. Neal","","https://scispace.com/pdf/an-integrative-population-and-landscape-genomic-approach-to-4qz35e1a65.pdf","Author(s): Neal, Kevin M. | Advisor(s): Shaffer, Howard B | Abstract: Amphibians are threatened world-wide, and due to the elusive, seasonal, and often nocturnal habits of adults, biological assessments of amphibian species are often best conducted via genetic analysis of easily-sampled pond-dwelling larvae. Genetic analysis of amphibian species can benefit their conservation in several ways, including identification of evolutionary lineages and subpopulations as fundamental units of conservation, genetic assessment of demography and diversity, and inference of patterns of gene flow among populations and how patterns are affected by environmental variation. In this dissertation I elucidated the evolutionary relationships and population genetic status of a threatened California amphibian (Spea hammondii) at multiple spatial scales using a combination of genetic, genomic, and environmental data. Chapter one utilized limited genetic data to determine phylogenetic relationships of Spea species and used environmental niche modeling to examine ecological differentiation between two allopatric lineages identified within S. hammondii. Chapter two took advantage of a newer genomic-scale dataset of thousands of SNP markers to look at fine-scale patterns of genetic variation among natural and artificial S. hammondii ponds in a highly urbanized region of Southern California. Chapter three also made use of thousands of markers to validate species-level relationships in Spea and used the added genomic resolution to examine relationships within and among genetic clusters and quantified the potential impacts of urbanization on functional genetic connectivity. Broadly, I found that the nominal taxon S. hammondii likely comprises two species. Populations within each species were highly differentiated from one another and had exceptionally low effective population sizes, such that each species lacks sufficient adaptive potential to thrive without intervention. Overall, this dissertation applied a suite of phylogenetic, population genomic, and landscape genomic tools to analyze patterns of genetic variation in S. hammondii to guide ongoing and future conservation efforts.","MrBayes 3.2.6 via CIPRES , using 10 million MCMC generations of burn-in followed by 50 million MCMC generations. We checked for MCMC convergence using Tracer 1.6 . Phylogenetic Analyses of Spea taxon sets:
 For the nuDNA, we used the multispecies coalescent model implemented in StarBEAST2  to generate individual gene trees and a species tree. StarBEAST requires that individuals be assigned a priori to ""taxon sets"" assumed to be monophyletic, and then estimates a species tree with those taxon sets as terminals. Phylogenetic Analyses of Spea taxon sets:
 Because the monophyly of several Spea species has been questioned, we used gene trees from an initial StarBEAST run to identify potential taxon sets. We assigned S. hammondii samples to two monophyletic taxon sets based on Bayesian genetic clustering results (see STRUCTURE results, below) and on their individual monophyly in the mtDNA analysis. Spea intermontana and S. bombifrons were each non-monophyletic in the mtDNA tree and in some nuDNA gene trees (online supplement) in our preliminary StarBEAST run, and we assigned each monophyletic sub-lineage of these species to its own taxon set, resulting in two sets for S. bombifrons and three for S. intermontana. We ran StarBEAST2 for 1 billion generations with 200 million burn-in and assessed model convergence using Tracer 1.6. Phylogenetic Analyses of Spea taxon sets:
 To aid in comparing the topologies of the mtDNA and nuDNA phylogenetic trees, we used the cophylo function in the package phytools 0.6-44 ) in R 3.4.3 to create a tanglegram (i.e. a cophylogeny) between the StarBEAST nuDNA tree and the MrBayes mtDNA tree to more clearly visualize discordance in the position of clades between the two trees."
"Split Probabilities and Species Tree Inference Under the Multispecies Coalescent Model.","https://scispace.com/paper/split-probabilities-and-species-tree-inference-under-the-iolgjwrwie","2018","Journal Article","Bulletin of Mathematical Biology","Elizabeth S. Allman
James H. Degnan
John A. Rhodes","10.1007/S11538-017-0363-5","","","Title: Split probabilities and species tree inference under the multispecies coalescent model Authors: Elizabeth S Allman,James H Degnan,John A Rhodes Keywords: multispecies coalescent model, split probability, species tree identifiability Mathematics Subject Classification (2010)"
